ch_id	lat	lon	depth
709	40.82127290	14.15031712	0
710	40.82127779	14.15025955	0
711	40.82128268	14.15020185	0
712	40.82128757	14.15014428	0
713	40.82129860	14.15008829	0
714	40.82131098	14.15003263	0
715	40.82132336	14.14997698	0
716	40.82133584	14.14992132	0
717	40.82134822	14.14986567	0
718	40.82136060	14.14981001	0
719	40.82137307	14.14975436	0
720	40.82138545	14.14969882	0
721	40.82139784	14.14964317	0
722	40.82141031	14.14958751	0
723	40.82142269	14.14953185	0
724	40.82143263	14.14947540	0
725	40.82144212	14.14941872	0
726	40.82145162	14.14936215	0
727	40.82146120	14.14930546	0
728	40.82147069	14.14924890	0
729	40.82148018	14.14919233	0
730	40.82148976	14.14913564	0
731	40.82149926	14.14907908	0
732	40.82150884	14.14902239	0
733	40.82151833	14.14896582	0
734	40.82152782	14.14890926	0
735	40.82153740	14.14885257	0
736	40.82154825	14.14879646	0
737	40.82156036	14.14874069	0
738	40.82157247	14.14868492	0
739	40.82158458	14.14862915	0
740	40.82159669	14.14857338	0
741	40.82160880	14.14851761	0
742	40.82162091	14.14846196	0
743	40.82163302	14.14840619	0
744	40.82164513	14.14835042	0
745	40.82165724	14.14829465	0
746	40.82166935	14.14823888	0
747	40.82168146	14.14818311	0
748	40.82169402	14.14812757	0
749	40.82170694	14.14807214	0
750	40.82171978	14.14801672	0
751	40.82173270	14.14796118	0
752	40.82174553	14.14790575	0
753	40.82175846	14.14785033	0
754	40.82177138	14.14779490	0
755	40.82178421	14.14773948	0
756	40.82179713	14.14768393	0
757	40.82180997	14.14762851	0
758	40.82182289	14.14757308	0
759	40.82182625	14.14751529	0
760	40.82182888	14.14745751	0
761	40.82183161	14.14739960	0
762	40.82183433	14.14734170	0
763	40.82183706	14.14728380	0
764	40.82183969	14.14722601	0
765	40.82184242	14.14716811	0
766	40.82184055	14.14711026	0
775	40.82183751	14.14705232	0
776	40.82183447	14.14699449	0
777	40.82183143	14.14693666	0
778	40.82182839	14.14687883	0
779	40.82182544	14.14682100	0
780	40.82182240	14.14676317	0
781	40.82181936	14.14670522	0
782	40.82181632	14.14664739	0
783	40.82181328	14.14658956	0
784	40.82180807	14.14653200	0
785	40.82180153	14.14647468	0
786	40.82179489	14.14641738	0
787	40.82178834	14.14636007	0
788	40.82178170	14.14630264	0
789	40.82177515	14.14624533	0
790	40.82176851	14.14618802	0
791	40.82176196	14.14613071	0
792	40.82175532	14.14607340	0
793	40.82174876	14.14601597	0
